name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,id,html,cluster
Se Eu Quiser Falar Com Deus,Gilberto Gil,658.0,259.0,11,-13.141,0,705.0,694.0,5.87e-05,975.0,306.0,110.376,,256213,4,1n7JnwviZ7zf0LR1tcGFq7,https://open.spotify.com/track/1n7JnwviZ7zf0LR1tcGFq7,0.0
Saudade De Bahia,Antônio Carlos Jobim,742.0,399.0,2,-12.646,1,346.0,217.0,1.88e-06,107.0,693.0,125.039,,191867,4,5QGM1U0eCYrQuwSJwTm5Zq,https://open.spotify.com/track/5QGM1U0eCYrQuwSJwTm5Zq,4.0
"Canta Canta, Minha Gente                                                                                                                                                       ",Martinho Da Vila,851.0,0.73,2,-11.048,1,347.0,453.0,6.34e-05,124.0,905.0,93.698,,152267,4,0NLIFSZxPzQhCwnkn5PJYs,https://open.spotify.com/track/0NLIFSZxPzQhCwnkn5PJYs,8.0
Mulher Eu Sei,Chico César,705.0,502.0,4,-18.115,1,471.0,879.0,4.05e-05,386.0,524.0,106.802,,186227,4,3mXqOdlLE1k67WsAxryPFs,https://open.spotify.com/track/3mXqOdlLE1k67WsAxryPFs,4.0
Rosa Morena,Kurt Elling,651.0,119.0,6,-19.807,1,38.0,916.0,343.0,104.0,402.0,120.941,,273680,4,7bSzjzjTkWT2CkIPPdp0eA,https://open.spotify.com/track/7bSzjzjTkWT2CkIPPdp0eA,6.0
Desafinado,Stan Getz,466.0,146.0,3,-17.5,1,649.0,931.0,154.0,107.0,423.0,142.885,,249387,4,5pstSsK0G4q86gdyy1Spqh,https://open.spotify.com/track/5pstSsK0G4q86gdyy1Spqh,0.0
Madalena,Maria Gasolina,675.0,207.0,11,-13.82,0,545.0,963.0,414.0,112.0,684.0,93.531,,145187,4,33u3dO0JWjerYpFN61J3ug,https://open.spotify.com/track/33u3dO0JWjerYpFN61J3ug,8.0
O Meu Amor É Glòria,Sílvia Pérez Cruz,504.0,733.0,7,-10.72,1,389.0,696.0,5.61e-05,673.0,886.0,96.565,,309760,4,0ylJQpV3K4XnhWhLDMFmH7,https://open.spotify.com/track/0ylJQpV3K4XnhWhLDMFmH7,6.0
Brigas Nunca Mais,Paula Morelenbaum,694.0,546.0,10,-11.452,1,0.04,398.0,76.0,153.0,641.0,170.032,,204027,4,1wL2dk42Cxu4zCJs4SvFsZ,https://open.spotify.com/track/1wL2dk42Cxu4zCJs4SvFsZ,4.0
Previsao,Bossacucanova,674.0,864.0,1,-7.971,1,382.0,641.0,358.0,139.0,536.0,99.995,,181133,4,5iKuMCDh634YGrg2HrhtHp,https://open.spotify.com/track/5iKuMCDh634YGrg2HrhtHp,4.0
The Girl From Ipanema,Stan Getz,641.0,0.14,8,-16.79,1,39.0,867.0,166.0,105.0,388.0,129.318,,317987,4,4xGFcQEIjtmbPD6Jsxq14M,https://open.spotify.com/track/4xGFcQEIjtmbPD6Jsxq14M,6.0
Blue Bossa - Remastered,Joe Henderson,0.48,433.0,5,-9.909,0,532.0,608.0,694.0,108.0,897.0,82.315,,271147,4,26g2HsIOznFYeJWR9zhRXZ,https://open.spotify.com/track/26g2HsIOznFYeJWR9zhRXZ,6.0
Aqua De Coco,Marcos Valle,755.0,732.0,10,-9.6,0,658.0,487.0,91.0,454.0,816.0,88.028,,287560,4,1OzHkIzGMj4S3rWwF8TBjc,https://open.spotify.com/track/1OzHkIzGMj4S3rWwF8TBjc,6.0
